,Location,Latitude,Longitude
0,Amangeldi,50.18111111111111,65.18861111111111
1,Arkalyk,50.24805555555556,66.92777777777778
2,Tasty-Taldy,50.717777777777776,66.6261111111111
3,Ulutay,48.65555555555555,67.0038888888889
