Станция,Дата,Сред,Мин,soil_tempСред,soil_tempМакс,soil_tempМин,air_tempСред,air_tempМакс,air_tempМин,pressureНа ур.станц.,pressureНа ур.моря,dew_pointМин,snezhnСт.покр.,"snezhnВысота,см",def_nasСред,def_nasМакс,osadkiСумма,windСред,windМакс. из 8 срок,windАбс.макс.,part_pressСред
Екидин,2013-01-01 00:00:00,76,68,-13,-10,-15,-12.2,-10.3,-13.8,994.0,1021.8,-16.7,10.0,12,0.59,0.81,0.2,3.4,5,9,1.81
Екидин,2013-01-02 00:00:00,84,78,-12,-6,-18,-11.8,-5.2,-17.9,995.6,1023.5,-19.7,10.0,12,0.39,0.52,2.4,5.1,7,12,2.22
Екидин,2013-01-03 00:00:00,79,74,-20,-8,-22,-19.3,-6.7,-21.0,995.4,1024.0,-23.8,10.0,18,0.28,0.37,0.3,3.6,5,11,1.06
Екидин,2013-01-04 00:00:00,78,75,-27,-21,-31,-27,-19.7,-30.4,1002.5,1032.3,-32.7,10.0,16,0.15,0.21,0.4,2.1,4,6,0.55
Екидин,2013-01-05 00:00:00,78,76,-20,-12,-30,-19.1,-12.6,-29.0,1002.3,1031.1,-31.1,10.0,16,0.32,0.53,0.5,6.5,9,14,1.18
Екидин,2013-01-06 00:00:00,75,70,-13,-10,-14,-12.5,-10,-14.2,996.3,1024.2,-17.4,10.0,15,0.58,0.85,0.2,3.5,7,11,1.77
Екидин,2013-01-07 00:00:00,70,66,-15,-11,-18,-14.6,-13,-17.0,993.4,1021.5,-21.1,10.0,15,0.61,0.78,,0.9,2,5,1.38
Екидин,2013-01-08 00:00:00,77,74,-20,-14,-23,-20.1,-14.3,-22.4,994.1,1022.8,-24.8,10.0,16,0.29,0.47,,1.1,2,4,0.98
Екидин,2013-01-09 00:00:00,76,68,-17,-3,-24,-17.1,-1.8,-23.0,991.8,1020.1,-25.4,10.0,15,0.49,1.66,,1.3,4,7,1.41
Екидин,2013-01-10 00:00:00,75,68,-4,-1,-6,-3.4,-2,-5.1,987.5,1014.2,-9,10.0,10,1.2,1.55,,3.6,7,11,3.59
Екидин,2013-01-11 00:00:00,81,72,-5,-2,-10,-4.2,-0.5,-9.2,983.8,1010.5,-11.1,10.0,15,0.89,1.55,,2.9,5,9,3.66
Екидин,2013-01-12 00:00:00,80,75,-9,-4,-19,-8.6,-3.1,-18.9,981.4,1008.5,-22.1,10.0,19,0.67,1.13,2.9,6.6,13,19,2.7
Екидин,2013-01-13 00:00:00,76,71,-19,-12,-25,-18.5,-11.6,-23.9,997.3,1025.9,-27,10.0,19,0.36,0.48,0.2,6.1,9,13,1.16
Екидин,2013-01-14 00:00:00,82,78,-9,-5,-13,-8.5,-4.3,-12.7,989.6,1016.8,-14.7,10.0,18,0.56,0.64,1.1,9.4,12,17,2.74
Екидин,2013-01-15 00:00:00,82,74,-11,-5,-20,-11.1,-4.4,-19.7,982.8,1010.2,-22.9,10.0,18,0.45,0.51,1.8,6.0,10,14,2.45
Екидин,2013-01-16 00:00:00,79,77,-17,-15,-21,-17.2,-14.7,-20.4,995.6,1024.0,-22.9,10.0,18,0.33,0.41,0.4,7.9,9,13,1.27
Екидин,2013-01-17 00:00:00,80,73,-14,-10,-17,-13.6,-11.3,-15.9,1002.3,1030.5,-18.5,10.0,17,0.43,0.59,0.6,6.5,8,13,1.74
Екидин,2013-01-18 00:00:00,81,77,-15,-12,-21,-15.2,-12.5,-20.0,1002.0,1030.3,-22.5,10.0,19,0.34,0.54,0.8,2.0,5,8,1.56
Екидин,2013-01-19 00:00:00,80,75,-13,-7,-21,-13.2,-8,-20.1,999.3,1027.3,-22.6,10.0,19,0.5,0.74,0.2,2.4,4,6,1.83
Екидин,2013-01-20 00:00:00,78,76,-11,-6,-15,-10.3,-6.7,-13.8,993.8,1021.4,-16.4,10.0,19,0.62,0.83,,2.8,5,8,2.24
Екидин,2013-01-21 00:00:00,82,77,-12,-7,-17,-11.7,-8,-16.1,992.4,1020.1,-17.9,10.0,19,0.47,0.74,,2.3,5,8,2.09
Екидин,2013-01-22 00:00:00,82,75,-4,0,-9,-3.5,0.5,-8.6,984.6,1011.2,-10.1,10.0,17,0.83,1.03,,6.4,10,14,3.96
Екидин,2013-01-23 00:00:00,88,80,-2,0,-5,-1.5,0.5,-4.4,983.1,1009.5,-5.5,10.0,17,0.67,1.23,2.0,10.3,15,19,4.84
Екидин,2013-01-24 00:00:00,85,78,-2,1,-6,-1.5,2,-5.3,988.5,1015.1,-7.2,10.0,19,0.84,1.53,1.1,3.1,7,11,4.72
Екидин,2013-01-25 00:00:00,87,78,0,0,0,1.1,2.1,0.5,981.4,1007.5,-1.6,10.0,16,0.89,1.53,1.4,6.3,10,16,5.74
Екидин,2013-01-26 00:00:00,81,77,-6,0,-13,-6.1,0.8,-10.9,991.0,1018.1,-12.8,10.0,14,0.74,1.01,,8.0,15,18,3.3
Екидин,2013-01-27 00:00:00,78,69,-15,-8,-21,-14.9,-10.2,-20.4,998.7,1026.9,-24.4,10.0,14,0.42,0.83,,3.4,7,9,1.54
Екидин,2013-01-28 00:00:00,72,64,-21,-13,-27,-21.8,-15.2,-26.4,1007.5,1036.8,-29.4,10.0,14,0.34,0.64,,1.5,3,5,0.8
Екидин,2013-01-29 00:00:00,73,62,-22,-14,-28,-21.7,-14.1,-26.7,1006.3,1035.5,-29.7,10.0,14,0.34,0.78,,1.1,3,4,0.81
Екидин,2013-01-30 00:00:00,72,63,-19,-10,-25,-19.3,-13,-24.5,1003.6,1032.5,-27.5,10.0,14,0.41,0.73,,2.3,4,6,0.99
Екидин,2013-01-31 00:00:00,69,63,-13,-5,-20,-10.8,-5.9,-16.7,997.9,1025.7,-19.2,10.0,14,0.91,1.43,,3.5,8,13,1.9
Екидин,2013-02-01 00:00:00,87,82,-3,0,-8,-2.8,0,-7.4,986.8,1013.4,-9.4,10.0,15,0.63,0.73,1.5,7.9,14,18,4.43
Екидин,2013-02-02 00:00:00,84,75,-3,-2,-5,-2.8,-1.3,-4.4,985.8,1012.4,-7.1,10.0,15,0.8,1.23,1.6,3.1,6,8,4.19
Екидин,2013-02-03 00:00:00,79,70,-11,-5,-18,-11.7,-4.3,-17.4,994.0,1021.8,-19.9,10.0,15,0.54,0.72,0.0,4.3,7,10,2.06
Екидин,2013-02-04 00:00:00,80,79,-15,-8,-19,-14.8,-12,-18.4,1001.9,1030.2,-20.9,10.0,15,0.4,0.48,0.4,2.1,3,5,1.58
Екидин,2013-02-05 00:00:00,78,72,-15,-8,-19,-15,-11.6,-18.4,1007.6,1036.1,-21.6,10.0,16,0.44,0.73,0.2,1.4,4,4,1.49
Екидин,2013-02-06 00:00:00,77,73,-10,-3,-20,-9.9,-3.3,-19.6,1007.9,1035.8,-22.1,10.0,16,0.75,1.23,,4.4,8,13,2.37
Екидин,2013-02-07 00:00:00,84,78,-5,-1,-10,-4.7,-1.3,-10.3,1007.1,1034.5,-11.5,10.0,13,0.76,1.21,0.2,3.3,9,13,3.62
Екидин,2013-02-08 00:00:00,83,78,-13,-5,-20,-12.4,-7.8,-18.3,1011.6,1039.9,-20.1,10.0,13,0.41,0.73,,2.5,5,8,2.02
Екидин,2013-02-09 00:00:00,80,75,-17,-6,-24,-17.4,-11.2,-22.6,1017.8,1046.9,-25,10.0,13,0.35,0.65,,2.1,3,6,1.3
Екидин,2013-02-10 00:00:00,77,72,-17,-7,-24,-16.9,-10.6,-22.7,1019.7,1048.7,-25.1,10.0,13,0.43,0.81,,1.1,2,7,1.29
Екидин,2013-02-11 00:00:00,77,69,-18,-12,-24,-17.8,-12,-22.9,1018.0,1047.1,-25.2,10.0,13,0.39,0.72,,2.5,4,6,1.19
Екидин,2013-02-12 00:00:00,76,66,-18,-10,-23,-17.4,-10.8,-21.7,1013.7,1042.7,-24.1,10.0,13,0.43,0.93,,2.3,3,7,1.22
Екидин,2013-02-13 00:00:00,78,72,-18,-10,-24,-17.3,-9.9,-22.8,1009.9,1038.7,-25.2,10.0,13,0.4,0.76,,2.0,4,5,1.28
Екидин,2013-02-14 00:00:00,77,70,-19,-10,-26,-18.6,-12,-24.7,1007.9,1036.8,-27.1,10.0,13,0.38,0.72,0.0,1.4,2,5,1.14
Екидин,2013-02-15 00:00:00,83,70,-13,-10,-18,-13.2,-11.8,-16.8,1013.4,1041.9,-19.3,10.0,14,0.38,0.72,0.2,1.3,4,5,1.86
Екидин,2013-02-16 00:00:00,76,71,-18,-9,-25,-17.6,-12,-23.7,1012.3,1041.3,-26.1,10.0,14,0.41,0.73,,1.6,3,5,1.2
Екидин,2013-02-17 00:00:00,72,56,-17,-5,-25,-16.8,-7.6,-23.8,1006.0,1034.7,-26.1,10.0,14,0.57,1.5,,1.6,3,6,1.23
Екидин,2013-02-18 00:00:00,70,66,-15,-4,-26,-15.6,-4.8,-24.9,999.9,1028.3,-27.8,10.0,14,0.64,1.33,,2.1,3,5,1.4
Екидин,2013-02-19 00:00:00,70,63,-10,-3,-14,-9.6,-5.5,-13.2,996.2,1023.7,-17.9,10.0,14,0.89,1.13,,3.3,9,12,2.17
Екидин,2013-02-20 00:00:00,80,71,-7,-2,-13,-7.8,-5.4,-11.6,997.7,1025.1,-15,10.0,15,0.69,0.92,0.4,4.3,7,9,2.75
Екидин,2013-02-21 00:00:00,80,76,-16,-8,-22,-16.8,-11.5,-22.1,998.2,1026.7,-24.5,10.0,15,0.36,0.62,,2.1,4,5,1.35
Екидин,2013-02-22 00:00:00,80,76,-16,-9,-22,-16,-12,-20.9,999.1,1027.5,-23.3,10.0,15,0.39,0.6,0.2,4.1,5,7,1.42
Екидин,2013-02-23 00:00:00,79,74,-14,-6,-22,-14,-6.2,-20.9,998.7,1026.9,-23.3,10.0,16,0.46,0.83,0.4,5.9,8,13,1.81
Екидин,2013-02-24 00:00:00,82,74,-11,-5,-18,-11.6,-5.4,-17.3,999.0,1026.9,-19.8,10.0,16,0.45,0.7,0.6,4.3,9,14,2.2
Екидин,2013-02-25 00:00:00,78,72,-16,-10,-20,-17,-13.5,-19.4,1005.0,1033.7,-21.9,10.0,16,0.38,0.63,,4.1,7,11,1.26
Екидин,2013-02-26 00:00:00,79,73,-12,-6,-18,-11.6,-7.8,-17.8,1003.4,1031.3,-16.9,10.0,16,0.56,0.83,0.2,4.8,8,11,1.99
Екидин,2013-02-27 00:00:00,81,78,-14,-4,-22,-14.3,-6.8,-21.5,998.6,1026.8,-23.9,10.0,16,0.44,0.73,,4.8,8,11,1.79
Екидин,2013-02-28 00:00:00,84,79,-7,-3,-16,-7.3,-4.5,-15.5,983.2,1010.2,-18.1,10.0,16,0.58,0.82,0.7,10.6,17,23,3.04
Екидин,2013-03-01 00:00:00,77,70,-19,-10,-27,-19,-11.2,-26.3,992.2,1020.7,-28.7,10.0,15,0.37,0.77,,4.1,7,10,1.13
Екидин,2013-03-02 00:00:00,79,73,-8,0,-17,-7.7,1.3,-16.0,987.8,1014.9,-18.6,10.0,15,0.76,1.73,0.8,4.5,6,9,3.07
Екидин,2013-03-03 00:00:00,86,79,-2,-1,-5,-1.7,0.7,-4.4,984.9,1011.4,-6.6,10.0,13,0.74,1.01,1.8,6.5,8,11,4.68
Екидин,2013-03-04 00:00:00,87,82,-2,0,-6,-2,1.5,-4.3,989.4,1016.0,-6.7,10.0,13,0.68,0.99,0.6,7.8,12,16,4.64
Екидин,2013-03-05 00:00:00,86,78,-5,0,-11,-4,1.2,-10.3,989.9,1016.7,-12.2,10.0,13,0.62,1.21,3.0,5.1,9,13,4.13
Екидин,2013-03-06 00:00:00,87,78,-2,-1,-5,-1.8,1.2,-4.9,982.4,1008.8,-8,10.0,11,0.66,1.02,1.6,3.8,5,8,4.78
Екидин,2013-03-07 00:00:00,80,74,-9,-5,-15,-9.3,-4.8,-14.4,991.6,1019.1,-17.8,10.0,12,0.61,0.82,1.3,7.1,13,18,2.51
Екидин,2013-03-08 00:00:00,78,73,-11,-4,-18,-11.4,-4.4,-17.3,1001.6,1029.6,-19.8,10.0,11,0.63,1.13,,9.8,12,17,2.09
Екидин,2013-03-09 00:00:00,78,73,-6,-3,-12,-6.1,-2.9,-10.7,991.5,1018.6,-14.2,10.0,11,0.84,1.13,0.8,11.6,15,21,3.08
Екидин,2013-03-10 00:00:00,75,67,-12,-4,-19,-11.8,-5.9,-17.9,1002.1,1030.1,-20.4,10.0,11,0.7,1.22,,4.5,9,13,1.91
Екидин,2013-03-11 00:00:00,73,66,-5,1,-10,-4.2,1.8,-9.4,992.3,1019.2,-12.8,10.0,11,1.3,2.23,,6.4,13,16,3.36
Екидин,2013-03-12 00:00:00,83,73,-4,0,-8,-3.5,3.5,-7.9,988.7,1015.5,-10.9,10.0,10,0.92,2.1,,1.5,3,7,3.99
Екидин,2013-03-13 00:00:00,80,68,-3,0,-8,-0.9,4.7,-7.0,986.8,1013.2,-8.6,10.0,10,1.3,2.7,,2.3,5,9,4.58
Екидин,2013-03-14 00:00:00,83,73,0,0,-1,3.6,5.3,1.6,981.1,1006.9,-0.5,9.0,9,1.4,2.13,3.0,6.0,9,16,6.52
Екидин,2013-03-15 00:00:00,85,77,-2,-1,-3,0.2,2.4,-1.8,991.8,1018.3,-5.2,8.0,4,0.87,1.35,0.5,5.9,9,12,5.34
Екидин,2013-03-16 00:00:00,72,63,-3,0,-7,-1,4.5,-6.1,1007.4,1034.4,-8.7,8.0,3,1.7,3.09,,3.3,5,10,4.14
Екидин,2013-03-17 00:00:00,77,66,-1,2,-3,1.7,8.2,-2.1,1003.8,1030.4,-4.9,7.0,2,1.7,3.6,,2.1,5,7,5.37
Екидин,2013-03-18 00:00:00,75,60,-1,6,-5,1.5,9.4,-4.1,994.4,1020.8,-6.2,0.0,0,2.0,4.6,,2.3,4,6,5.17
Екидин,2013-03-19 00:00:00,72,59,2,9,-2,5,14.6,-0.6,989.0,1015.0,-3.6,0.0,0,2.8,6.4,,1.6,3,8,6.43
Екидин,2013-03-20 00:00:00,80,71,1,6,-1,2.6,7.8,0.2,988.5,1014.7,-1.8,0.0,0,1.6,3.0,,2.3,6,9,5.85
Екидин,2013-03-21 00:00:00,73,61,0,6,-5,-0.2,3.2,-3.6,995.4,1022.0,-6,0.0,0,1.8,2.97,,5.0,6,10,4.35
Екидин,2013-03-22 00:00:00,73,61,1,10,-4,0.9,5.6,-2.9,992.2,1018.6,-5.3,0.0,0,1.9,3.41,,1.9,5,8,4.73
Екидин,2013-03-23 00:00:00,74,60,3,13,-2,1.3,5.6,-1.9,993.7,1020.1,-5.4,0.0,0,1.9,3.57,,2.6,4,8,4.94
Екидин,2013-03-24 00:00:00,75,60,4,17,-4,3.9,13.4,-3.3,996.0,1022.3,-5,0.0,0,2.7,6.1,,3.1,6,9,6.17
Екидин,2013-03-25 00:00:00,70,59,7,18,-1,6.7,14.6,-0.6,988.5,1014.3,-3.6,0.0,0,3.5,6.7,,5.8,9,12,7.01
Екидин,2013-03-26 00:00:00,71,51,4,6,2,4.8,10.6,0.4,985.0,1010.8,-4.4,0.0,0,2.5,4.31,7.1,7.9,12,16,6.19
Екидин,2013-03-27 00:00:00,74,57,4,10,0,2.7,4.3,0.3,989.7,1015.8,-3.7,0.0,0,2.0,3.43,2.6,5.6,8,17,5.49
Екидин,2013-03-28 00:00:00,67,47,9,24,0,6.7,15.5,0.9,991.8,1017.7,-3.2,0.0,0,3.9,8.9,,1.8,5,6,6.53
Екидин,2013-03-29 00:00:00,67,60,10,18,6,10.7,15.2,7.1,984.3,1009.6,2.3,0.0,0,4.3,6.5,,5.0,8,12,8.7
Екидин,2013-03-30 00:00:00,84,76,3,8,0,2.6,10.3,0.0,991.5,1017.7,-1,0.0,0,1.2,1.87,1.3,4.0,7,9,6.22
Екидин,2013-03-31 00:00:00,77,61,-1,5,-6,-2.5,0.5,-5.5,1001.3,1028.3,-8.2,6.0,0,1.3,2.43,0.5,8.8,12,17,3.86
Екидин,2013-04-01 00:00:00,65,47,-1,8,-7,-1.5,4.7,-6.3,1012.2,1039.4,-9.2,0.0,0,2.2,4.36,,2.4,4,12,3.47
Екидин,2013-04-02 00:00:00,66,49,2,16,-4,1.2,8.1,-3.4,1009.3,1036.2,-8.3,0.0,0,2.5,5.3,,1.9,4,6,4.36
Екидин,2013-04-03 00:00:00,65,48,8,24,-2,5.8,14.2,-1.1,1008.3,1034.8,-4,0.0,0,4.0,7.9,,1.9,4,8,5.8
Екидин,2013-04-04 00:00:00,64,42,12,28,0,9.6,18.6,1.3,1004.7,1030.6,-0.5,0.0,0,5.6,12.2,,1.4,2,6,7.47
Екидин,2013-04-05 00:00:00,65,44,14,28,3,11,18.9,3.8,1001.3,1026.9,1.4,0.0,0,5.6,11.8,,2.3,4,8,8.4
Екидин,2013-04-06 00:00:00,64,39,13,27,3,11,19.6,2.8,1001.4,1027.0,0.8,0.0,0,6.0,13.5,,2.4,4,7,7.9
Екидин,2013-04-07 00:00:00,55,37,14,30,3,12.3,20.9,5.0,996.9,1022.4,0.1,0.0,0,7.6,14.9,,4.8,7,10,7.6
Екидин,2013-04-08 00:00:00,52,31,13,30,0,11.8,22.5,1.3,991.2,1016.6,-2.4,0.0,0,8.5,18.2,,4.3,6,11,6.9
Екидин,2013-04-09 00:00:00,57,38,19,40,4,15.3,25.4,7.1,992.0,1017.1,2.1,0.0,0,9.4,19.9,,3.0,6,8,9.6
Екидин,2013-04-10 00:00:00,53,30,18,37,4,16.7,27.3,6.2,991.7,1016.7,2.1,0.0,0,11.9,24.9,,4.6,8,14,9.3
Екидин,2013-04-11 00:00:00,47,30,19,35,7,19.1,28.5,11.2,989.3,1014.0,4,0.0,0,13.5,26.0,,4.6,8,14,10.0
Екидин,2013-04-12 00:00:00,49,30,21,43,5,17.6,29.5,6.4,985.7,1010.3,1.9,0.0,0,12.9,27.3,,2.1,3,8,9.6
Екидин,2013-04-13 00:00:00,69,57,11,19,8,11.2,21.5,8.9,986.5,1011.8,4.3,0.0,0,4.2,7.0,,4.3,7,13,9.1
Екидин,2013-04-14 00:00:00,71,56,11,29,2,9.3,15.2,4.3,991.3,1016.9,0.8,0.0,0,3.7,7.4,1.9,4.0,8,12,8.4
Екидин,2013-04-15 00:00:00,81,70,6,11,2,5.9,11.1,2.2,983.5,1009.1,-1.4,0.0,0,1.7,2.41,13.3,7.5,10,14,7.75
Екидин,2013-04-16 00:00:00,82,78,3,8,1,2.1,4.4,1.1,987.7,1013.8,-2,0.0,0,1.3,1.73,1.9,7.3,9,12,5.8
Екидин,2013-04-17 00:00:00,76,61,4,9,2,4.2,7.4,2.1,989.4,1015.5,-1.2,0.0,0,2.1,3.9,1.2,2.6,5,10,6.24
Екидин,2013-04-18 00:00:00,77,66,5,10,2,4.8,7.9,2.3,993.2,1019.2,-1.4,0.0,0,2.0,3.5,0.7,3.5,6,9,6.58
Екидин,2013-04-19 00:00:00,73,52,6,19,-1,6.2,14.9,0.0,996.1,1022.2,-1.5,0.0,0,3.3,7.8,,5.1,9,14,6.81
Екидин,2013-04-20 00:00:00,64,46,14,28,6,11,15.4,7.3,991.3,1016.8,3.2,0.0,0,5.0,9.1,,3.4,8,12,8.3
Екидин,2013-04-21 00:00:00,66,44,15,38,2,11.5,20.4,2.7,992.6,1018.1,0.7,0.0,0,6.1,12.9,,2.1,3,7,8.6
Екидин,2013-04-22 00:00:00,58,33,17,33,4,14.6,23.2,5.8,985.5,1010.5,3.8,0.0,0,8.8,18.0,,3.4,7,13,9.1
Екидин,2013-04-23 00:00:00,61,44,15,25,8,14,20.6,9.0,976.8,1001.6,4.6,0.0,0,6.9,13.3,,5.5,11,19,9.5
Екидин,2013-04-24 00:00:00,66,50,16,31,10,14.4,19.8,10.9,980.2,1005.0,6.5,0.0,0,6.0,11.3,0.4,8.9,12,17,10.7
Екидин,2013-04-25 00:00:00,68,40,18,34,9,14.6,21.4,10.9,988.0,1013.0,3.4,0.0,0,6.0,14.2,0.4,3.5,6,10,10.9
Екидин,2013-04-26 00:00:00,69,54,13,22,8,12.3,15.6,9.0,982.6,1007.7,3.2,0.0,0,4.6,7.5,6.1,6.5,8,21,9.8
Екидин,2013-04-27 00:00:00,84,77,8,12,5,8.2,10.7,6.3,980.0,1005.4,4.3,0.0,0,1.8,2.7,3.8,9.5,15,20,9.2
Екидин,2013-04-28 00:00:00,72,59,10,20,5,8.9,12.7,5.9,985.5,1011.0,2.6,0.0,0,3.3,5.7,0.4,8.1,11,17,8.1
Екидин,2013-04-29 00:00:00,72,54,14,26,9,13.6,20,9.2,987.9,1013.0,6.5,0.0,0,5.1,10.1,2.9,7.4,10,16,10.9
Екидин,2013-04-30 00:00:00,61,43,15,29,10,12.4,17.2,9.3,991.6,1016.9,2.1,0.0,0,5.7,9.5,,7.5,10,16,8.8
Екидин,2013-05-01 00:00:00,68,47,15,36,1,10.2,17.9,2.0,1002.3,1028.1,0.8,0.0,0,5.1,10.6,,3.8,6,12,8.19
Екидин,2013-05-02 00:00:00,55,30,18,40,4,14.1,22.8,4.5,994.5,1019.8,1,0.0,0,9.1,19.3,,5.6,8,13,8.2
Екидин,2013-05-03 00:00:00,63,39,16,30,9,11.7,18.7,8.3,992.7,1018.1,0.2,0.0,0,5.4,10.3,2.8,6.0,11,17,8.4
Екидин,2013-05-04 00:00:00,58,33,13,34,0,9.8,18.5,0.8,999.8,1025.5,-0.8,0.0,0,6.5,13.8,,5.1,10,15,6.53
Екидин,2013-05-05 00:00:00,47,37,18,36,7,13.8,18.1,9.4,996.9,1022.2,0,0.0,0,8.7,12.6,,5.6,8,13,7.3
Екидин,2013-05-06 00:00:00,51,25,18,42,2,12.3,22.3,3.5,1000.4,1025.9,-0.8,0.0,0,9.0,19.6,,3.1,6,10,6.7
Екидин,2013-05-07 00:00:00,47,28,22,43,6,16.5,25.1,6.7,992.4,1017.4,1.9,0.0,0,12.0,22.6,,4.9,7,12,8.2
Екидин,2013-05-08 00:00:00,47,24,22,46,4,17.3,27.6,5.2,981.4,1006.0,0.7,0.0,0,13.5,27.0,,4.1,6,10,8.6
Екидин,2013-05-09 00:00:00,71,63,11,22,6,10.3,22.4,7.1,980.5,1005.7,2.9,0.0,0,3.8,6.9,2.3,5.4,8,13,8.9
Екидин,2013-05-10 00:00:00,59,41,16,34,2,12,17.1,3.4,990.3,1015.7,1.5,0.0,0,6.6,11.1,,5.3,10,17,8.0
Екидин,2013-05-11 00:00:00,53,29,15,36,0,11.8,22.1,0.5,992.1,1017.5,-3.1,0.0,0,8.5,18.7,,5.8,10,17,6.9
Екидин,2013-05-12 00:00:00,62,42,16,27,12,14,19.2,11.1,986.1,1011.1,1.5,0.0,0,6.2,10.3,3.1,5.9,8,13,9.8
Екидин,2013-05-13 00:00:00,51,31,18,45,4,10.8,17.7,4.9,996.1,1021.6,-1,0.0,0,7.4,13.9,,1.9,3,6,6.2
Екидин,2013-05-14 00:00:00,49,34,21,43,6,15.8,26.2,6.3,992.9,1017.9,1.1,0.0,0,11.1,21.8,,4.0,6,11,8.5
Екидин,2013-05-15 00:00:00,50,32,27,52,8,18.7,28.1,8.9,990.8,1015.6,4,0.0,0,12.5,25.2,3.4,1.1,2,6,10.6
Екидин,2013-05-16 00:00:00,56,32,21,38,11,19.7,27.9,12.0,991.2,1015.8,7.7,0.0,0,12.1,24.6,,2.1,4,8,12.3
Екидин,2013-05-17 00:00:00,57,33,23,40,9,20.7,28.6,11.8,991.0,1015.6,9.8,0.0,0,12.6,25.6,,2.8,5,7,13.1
Екидин,2013-05-18 00:00:00,55,31,23,42,13,17.9,24.7,14.7,981.6,1006.2,4.1,0.0,0,9.7,17.9,,5.3,8,13,10.9
Екидин,2013-05-19 00:00:00,54,35,15,32,2,10.4,16.3,2.0,982.5,1007.8,-2.2,0.0,0,6.4,11.7,,3.3,5,13,6.7
Екидин,2013-05-20 00:00:00,66,52,11,16,8,10.5,14.8,7.7,981.0,1006.2,2.7,0.0,0,4.5,7.2,2.0,5.5,8,11,8.3
Екидин,2013-05-21 00:00:00,58,33,14,33,1,11.5,21.1,2.1,985.7,1010.9,-0.7,0.0,0,7.7,16.6,,6.6,12,17,7.3
Екидин,2013-05-22 00:00:00,64,55,17,29,12,14.7,18,12.2,985.0,1009.9,5.3,0.0,0,6.2,8.4,0.3,7.4,15,21,10.7
Екидин,2013-05-23 00:00:00,56,32,18,40,3,11.8,18.6,3.7,994.1,1019.6,0.9,0.0,0,7.3,14.1,,2.5,6,10,7.2
Екидин,2013-05-24 00:00:00,48,30,23,44,9,16.4,21.3,11.1,997.4,1022.5,2.7,0.0,0,10.3,17.6,,2.5,5,11,8.7
Екидин,2013-05-25 00:00:00,51,33,21,45,4,15.7,24.1,5.1,998.5,1023.7,0.6,0.0,0,10.5,19.3,,2.0,5,10,8.7
Екидин,2013-05-26 00:00:00,47,26,25,50,5,17.8,27.2,6.1,998.0,1023.0,1.4,0.0,0,13.5,25.5,,2.5,4,10,8.9
Екидин,2013-05-27 00:00:00,43,24,30,57,10,22.7,30.5,12.7,995.3,1019.8,5.3,0.0,0,18.0,32.4,,3.0,6,12,11.2
Екидин,2013-05-28 00:00:00,40,26,29,59,12,23.6,32.1,14.4,993.9,1018.3,5.3,0.0,0,20.2,34.0,,3.0,5,10,11.1
Екидин,2013-05-29 00:00:00,42,27,28,50,1,22.8,30.9,12.6,993.4,1017.8,5.5,0.0,0,18.2,31.3,,3.8,7,11,11.2
Екидин,2013-05-30 00:00:00,37,24,30,58,14,24.3,31.5,16.1,991.0,1015.3,5.5,0.0,0,21.1,34.2,,3.5,6,10,10.5
Екидин,2013-05-31 00:00:00,41,30,24,36,15,22.6,29.4,17.2,985.3,1009.5,7.1,0.0,0,17.2,27.5,,5.5,9,14,11.0
Екидин,2013-06-01 00:00:00,43,24,26,45,17,22.4,30.5,18.3,978.8,1002.9,7.1,0.0,0,16.4,31.6,,8.5,11,16,11.4
Екидин,2013-06-02 00:00:00,47,24,25,46,14,19.3,24.8,14.9,979.3,1003.7,2.3,0.0,0,12.8,22.6,,7.8,9,17,10.0
Екидин,2013-06-03 00:00:00,41,25,27,56,6,18.2,24.5,8.6,981.7,1006.2,1.1,0.0,0,13.6,22.5,,3.4,5,10,8.1
Екидин,2013-06-04 00:00:00,40,27,28,53,14,20.3,24.7,15.6,981.9,1006.3,4.1,0.0,0,14.9,21.8,,4.3,6,11,9.2
Екидин,2013-06-05 00:00:00,44,29,27,53,6,17.8,25.6,6.9,988.7,1013.5,-0.9,0.0,0,13.1,22.8,,2.4,5,11,8.7
Екидин,2013-06-06 00:00:00,40,26,27,51,10,21.6,30.4,11.6,990.2,1014.7,3.6,0.0,0,18.1,28.9,,5.6,10,14,9.7
Екидин,2013-06-07 00:00:00,34,24,26,45,12,22.8,30.2,13.2,988.3,1012.6,1.5,0.0,0,19.9,28.9,,6.4,16,18,9.4
Екидин,2013-06-08 00:00:00,48,32,23,40,16,21.6,27.8,18.0,984.3,1008.7,7.1,0.0,0,14.3,24.6,1.5,2.9,5,10,11.9
Екидин,2013-06-09 00:00:00,65,33,23,38,14,19.9,25.7,16.0,981.2,1005.5,8.1,0.0,0,9.5,21.6,6.6,3.1,6,10,14.3
Екидин,2013-06-10 00:00:00,45,25,26,45,9,19.1,25.8,10.1,984.2,1008.8,4.1,0.0,0,14.0,24.4,,3.3,6,12,9.3
Екидин,2013-06-11 00:00:00,49,26,28,52,13,20.6,26.3,14.8,986.8,1011.3,4.1,0.0,0,13.6,23.5,0.3,2.6,9,13,11.3
Екидин,2013-06-12 00:00:00,44,25,28,50,11,21.5,28,12.1,987.8,1012.3,4.5,0.0,0,16.4,26.2,,2.8,6,11,10.5
Екидин,2013-06-13 00:00:00,40,23,30,55,12,22.5,29.9,12.1,988.1,1012.5,5.3,0.0,0,18.8,31.5,,2.3,4,9,10.2
